State,District,Block,Total No. Of Works,Road Length,Sanction Cost
Maharashtra,Pune,Maval,,,
Maharashtra,Pune,Mulshi,,,
Maharashtra,Pune,Purandhar,,,
Maharashtra,Pune,Shirur,,,
Maharashtra,Pune,Velha,,,
Maharashtra,Raigad,Alibag,,,
Maharashtra,Raigad,Karjat,,,
Maharashtra,Raigad,Khalapur,,,
Maharashtra,Raigad,Mahad,,,
Maharashtra,Raigad,Mangaon,,,
Maharashtra,Raigad,Mhasala,,,
Maharashtra,Raigad,Murud,,,
Maharashtra,Raigad,Panvel,,,
Maharashtra,Raigad,Pen,,,
Maharashtra,Raigad,Poladpur,,,
Maharashtra,Raigad,Roha,,,
Maharashtra,Raigad,Shriwardhan,,,
Maharashtra,Raigad,Sudhagad,,,
Maharashtra,Raigad,Tala,,,
Maharashtra,Raigad,Uran,,,
Maharashtra,Ratnagiri,Chiplun,,,
Maharashtra,Ratnagiri,Dapoli,,,
Maharashtra,Ratnagiri,Guhagar,,,
Maharashtra,Ratnagiri,Khed,,,
Maharashtra,Ratnagiri,Lanja,,,
Maharashtra,Ratnagiri,Mandangad,,,
Maharashtra,Ratnagiri,Rajapur,,,
Maharashtra,Ratnagiri,Ratnagiri,,,
Maharashtra,Ratnagiri,Sangameshwar,,,
Maharashtra,Sangali,Atpadi,,,
Maharashtra,Sangali,Jath,,,
Maharashtra,Sangali,Kavathemahankal,,,
Maharashtra,Sangali,Khanapur,,,
Maharashtra,Sangali,Miraj,,,
Maharashtra,Sangali,Palus,,,
Maharashtra,Sangali,Shirala,,,
Maharashtra,Sangali,Tasgaon, , , 
Maharashtra,Sangali,Walwa, , , 
Maharashtra,Sangali,Kadegaon, , , 
Maharashtra,Satara,Jaoli, , , 
Maharashtra,Satara,Karad, , , 
Maharashtra,Satara,Khandala, , , 
Maharashtra,Satara,Khatav, , , 
Maharashtra,Satara,Koregaon, , , 
Maharashtra,Satara,Mahableshwar, , , 
Maharashtra,Satara,Man, , , 
Maharashtra,Satara,Patan, , , 
Maharashtra,Satara,Phaltan, , , 
Maharashtra,Satara,Satara, , , 
Maharashtra,Satara,Wai, , , 
Maharashtra,Sindhudurg,Devgad, , , 
Maharashtra,Sindhudurg,Dodamarg, , , 
Maharashtra,Sindhudurg,Kankavli, , , 
Maharashtra,Sindhudurg,Kudal, , , 
Maharashtra,Sindhudurg,Malvan, , , 
Maharashtra,Sindhudurg,Savantwadi, , , 
Maharashtra,Sindhudurg,Vaibhavwadi, , , 
Maharashtra,Sindhudurg,Vengurla, , , 
Maharashtra,Solapur,Akkalkot, , , 
Maharashtra,Solapur,Barshi, , , 
Maharashtra,Solapur,Karmala, , , 
Maharashtra,Solapur,Madha, , , 
Maharashtra,Solapur,Malshiras, , , 
Maharashtra,Solapur,Mangalwedha, , , 
Maharashtra,Solapur,Mohol, , , 
Maharashtra,Solapur,North Solapur, , , 
Maharashtra,Solapur,Pandharpur, , , 
Maharashtra,Solapur,Sangola, , , 
Maharashtra,Solapur,South Solapur, , , 
Maharashtra,Thane,Ambarnath, , , 
Maharashtra,Thane,Ambarnath, , , 
Maharashtra,Thane,Bhiwandi, , , 
Maharashtra,Thane,Kalyan, , , 
Maharashtra,Thane,Murbad, , , 
Maharashtra,Thane,Shahapur, , , 
Maharashtra,Thane,Thane, , , 
Maharashtra,Wardha,Arvi, , , 
Maharashtra,Wardha,Ashti, , , 
Maharashtra,Wardha,Deoli, , , 
Maharashtra,Wardha,Hinganghat, , , 
Maharashtra,Wardha,Karanja, , , 
Maharashtra,Wardha,Samudrapur, , , 
Maharashtra,Wardha,Seloo, , , 
Maharashtra,Wardha,Wardha, , , 
Maharashtra,Washim,Karanja, , , 
Maharashtra,Washim,Malegaon, , , 
Maharashtra,Washim,Mangrulpir, , , 
Maharashtra,Washim,Monora, , , 
Maharashtra,Washim,Rishod, , , 
Maharashtra,Washim,Washim, , , 
Maharashtra,Yavatmal,Arni,1,21.000,594.66
Maharashtra,Yavatmal,Babulgaon, , , 
Maharashtra,Yavatmal,Darwha, , , 
Maharashtra,Yavatmal,Digras, , , 
Maharashtra,Yavatmal,Ghatanji,2,40.500,959.67
Maharashtra,Yavatmal,Kalamb, , , 
Maharashtra,Yavatmal,Kelapur,1,29.100,648.48
Maharashtra,Yavatmal,Mahagaon, , , 
Maharashtra,Yavatmal,Maregaon, , , 
Maharashtra,Yavatmal,Ner, , , 
Maharashtra,Yavatmal,Pusad, , , 
Maharashtra,Yavatmal,Relagaon, , , 
Maharashtra,Yavatmal,Umarkhed, , , 
Maharashtra,Yavatmal,Wani,1,9.000,241.80
Maharashtra,Yavatmal,Yeotmal, , , 
Maharashtra,Yavatmal,Zarijamni, , , 
Rajasthan,Ajmer,Arain,2,19.000,251.72
Rajasthan,Ajmer,Peesangan,1,2.500,82.22
Rajasthan,Ajmer,Silora (Kishangarh),1,22.000,498.22
Rajasthan,Ajmer,Srinagar,1,16.300,197.89
Rajasthan,Alwar,Kathumar,2,25.650,796.81
Rajasthan,Alwar,Lachhmangarh,1,12.000,472.22
Rajasthan,Alwar,Rajgarh, , , 
Rajasthan,Alwar,Ramgarh,6,81.645,"1,863.52"
Rajasthan,Alwar,Reni,2,23.075,678.83
Rajasthan,Alwar,Thanagazi, , , 
Rajasthan,Alwar,Umren,2,25.430,547.15
Rajasthan,Anoopgarh,Raisinghnagar,4,35.800,937.55
Rajasthan,Anoopgarh,Anupgarh,3,33.500,757.86
Rajasthan,Anoopgarh,Gharsana,3,24.000,609.72
Rajasthan,Balotra,Siwana,4,40.200,703.29
Rajasthan,Balotra,Balotra (Pachpadra),5,21.100,357.22
Rajasthan,Balotra,Baytoo,4,29.830,514.97
Rajasthan,Balotra,Sindhari,6,51.850,836.14
Rajasthan,Banswara,Anandpuri, , , 
Rajasthan,Banswara,Bagidora, , , 
Rajasthan,Banswara,Banswara, , , 
Rajasthan,Banswara,Chhoti Sarwan, , , 
Rajasthan,Banswara,Garhi, , , 
Rajasthan,Banswara,Ghatol, , , 
Rajasthan,Banswara,Kushalgarh, , , 
Rajasthan,Banswara,Sajjangarh, , , 
Rajasthan,Baran,Anta, , , 
Rajasthan,Baran,Atru, , , 
Rajasthan,Baran,Baran, , , 
Rajasthan,Baran,Chhabra, , , 
Rajasthan,Baran,Chhipabarod, , , 
Rajasthan,Baran,Kishanganj, , , 
Rajasthan,Baran,Shahbad, , , 
Rajasthan,Barmer,Barmer,3,24.100,386.09
Rajasthan,Barmer,Chohtan,6,52.800,"1,040.20"
Rajasthan,Barmer,Dhorimanna (Gudha Malani),5,45.850,936.18
Rajasthan,Barmer,Sheo,6,52.000,942.19
Rajasthan,Beawar,Jawaja, , , 
Rajasthan,Beawar,Masooda,2,23.000,552.71
Rajasthan,Beawar,Jaitaran,1,17.000,309.64
Rajasthan,Beawar,Raipur, , , 
Rajasthan,Bharatpur,Bayana,,,
Rajasthan,Bharatpur,Nadbai,,,
Rajasthan,Bharatpur,Rupbas,,,
Rajasthan,Bharatpur,Sewar,,,
Rajasthan,Bharatpur,Weir,,,
Rajasthan,Bhilwara,Asind,,,
Rajasthan,Bhilwara,Hurda,,,
Rajasthan,Bhilwara,Mandal,,,
Rajasthan,Bhilwara,Mandalgarh,,,
Rajasthan,Bhilwara,Raipur,,,
Rajasthan,Bhilwara,Sahara,,,
Rajasthan,Bhilwara,Suwana,,,
Rajasthan,Bikaner,Bikaner,,,
Rajasthan,Bikaner,Dungargarh,,,
Rajasthan,Bikaner,Khajuwala,,,
Rajasthan,Bikaner,Kolayat,,,
Rajasthan,Bikaner,Lunkaransar,,,
Rajasthan,Bikaner,Nokha,,,
Rajasthan,Bundi,Bundi,,,
Rajasthan,Bundi,Hindoli,,,
Rajasthan,Bundi,Keshoraipatan,,,
Rajasthan,Bundi,Nainwa,,,
Rajasthan,Bundi,Talera,,,
Rajasthan,Chittaurgarh,Bari Sadri,,,
Rajasthan,Chittaurgarh,Begun,,,
Rajasthan,Chittaurgarh,Bhadesar,,,
Rajasthan,Chittaurgarh,Bhainsrorgarh,,,
Rajasthan,Chittaurgarh,Bhopalsagar,,,
Rajasthan,Chittaurgarh,Chittaurgarh,,,
Rajasthan,Chittaurgarh,Dungla,,,
Rajasthan,Chittaurgarh,Gangrar,,,
Rajasthan,Chittaurgarh,Kapasan,,,
Rajasthan,Chittaurgarh,Nimbahera,,,
Rajasthan,Chittaurgarh,Rashmi,,,
Rajasthan,Churu,Churu,,,
Rajasthan,Churu,Rajgarh,,,
Rajasthan,Churu,Ratangarh,,,
Rajasthan,Churu,Sardarshahar,,,
Rajasthan,Churu,Sujangarh,,,
Rajasthan,Churu,Taranagar,,,
Rajasthan,Dausa,Bandikui,,,
Rajasthan,Dausa,Dausa,,,
Rajasthan,Dausa,Lalsot,,,
Rajasthan,Dausa,Mahwa,,,
Rajasthan,Dausa,Sikrai,,,
Rajasthan,Deeg,Deeg,,,
Rajasthan,Deeg,Kaman,,,
Rajasthan,Deeg,Kumher,,,
Rajasthan,Deeg,Nagar (Nagar Pahari),,,
Rajasthan,Dholpur,Bari,,,
Rajasthan,Dholpur,Baseri,,,
Rajasthan,Dholpur,Dhaulpur,,,
